x koordináta	y koordináta	magasság
18,884231	47,729627	586,6
18,884314	47,729382	600,0
18,884163	47,729070	608,8
18,884191	47,728696	619,4
18,884732	47,727704	630,0
18,885336	47,727239	638,8
18,885599	47,726723	649,8
18,885411	47,726509	659,0
18,885338	47,726191	666,8
18,887776	47,724884	673,0
18,888176	47,724739	679,2
18,888517	47,724502	683,0
18,888915	47,724069	687,6
18,889150	47,723794	686,0
18,889561	47,723521	686,0
18,890162	47,723150	686,0
18,890558	47,722974	685,2
18,890813	47,722977	685,4
18,891232	47,723094	687,6
18,891272	47,722866	691,4
18,891377	47,722363	695,2
18,891339	47,722115	696,8
18,891708	47,721737	698,2
18,891544	47,721573	699,4
18,891514	47,721505	698,6
18,891665	47,721197	697,8
18,892722	47,720755	697,0
18,892961	47,720745	696,4
18,893195	47,720618	696,2
18,893354	47,720544	696,4
18,893490	47,720468	697,0
18,893976	47,720285	696,8
18,894412	47,720157	696,6
18,895081	47,720077	696,0
18,895505	47,719898	696,0
18,895887	47,719710	695,6
18,896657	47,719702	695,6
18,897335	47,719893	695,6
18,897723	47,719857	695,6
18,898191	47,719799	695,0
18,898745	47,719845	694,4
18,898580	47,719540	694,2
18,898096	47,719089	694,0
18,898111	47,718976	694,0
18,898016	47,718993	694,0
18,897743	47,719035	694,0
18,897411	47,719083	694,0
18,896998	47,719130	694,0
18,896897	47,719045	694,0
18,896848	47,719007	694,0
18,896771	47,718966	694,0
18,896862	47,718872	694,0
18,897171	47,718846	694,0
